Longitude,Latitude,StartTime,EndTime,PickupTime
30.000000,70.000000,600,1800
30.055466,70.077403,882,931
30.039569,70.070924,656,682
30.031584,70.047016,724,819
30.099983,70.062282,1283,1283
30.043814,70.042442,1090,1182
30.079590,70.076808,638,708
30.087454,70.092212,1208,1274
30.076329,70.027263,1058,1129
30.078256,70.079060,1201,1241
30.023219,70.061387,1731,1750
30.077511,70.095952,1001,1018
30.051057,70.056343,1042,1136
30.092071,70.098184,960,1010
30.091093,70.038335,1269,1315
30.010625,70.091014,1061,1137
30.041500,70.029366,1315,1384
30.062574,70.017272,749,847
30.046471,70.048070,613,619
30.010815,70.034411,1680,1729
30.061781,70.016583,1676,1727
30.014771,70.095436,1614,1681
30.005620,70.050405,1456,1530
30.025003,70.073184,1547,1618
30.018553,70.033204,1559,1649
30.095711,70.092390,1710,1733
30.081409,70.003513,1694,1735
30.026475,70.059010,729,818
30.064947,70.005282,1009,1067
30.069548,70.001233,1772,1800
30.010111,70.079226,1067,1102
30.064038,70.061653,980,1002
30.062718,70.096931,943,962
30.083304,70.005051,1007,1074
30.011397,70.064665,1579,1586
30.006889,70.031227,1569,1624
30.002602,70.048858,880,976
30.053332,70.007357,814,890
30.031546,70.000189,892,926
30.035174,70.059302,835,845
30.032865,70.078242,742,814
30.022488,70.086352,1321,1345
30.019848,70.003685,887,980
30.026266,70.088827,1666,1718
30.046066,70.089922,1335,1431
30.037996,70.023016,951,1037
30.088217,70.031172,807,853
30.086735,70.022886,1097,1162
30.074020,70.048927,1693,1712
30.000032,70.053029,812,856
30.003999,70.023744,765,765
30.080021,70.082285,635,706
30.040956,70.064326,1107,1136
30.030996,70.092517,1300,1314
30.065994,70.090837,631,710
30.099822,70.061960,708,726
30.024891,70.034414,1621,1651
30.015492,70.087630,1143,1211
30.013673,70.079824,892,959
30.039167,70.036218,1432,1436
30.077199,70.003217,800,809
30.061018,70.037944,651,666
30.019599,70.081936,1283,1349
30.005210,70.062806,710,793
30.050384,70.078329,1779,1800
30.029348,70.043693,1402,1494
30.015056,70.024518,1394,1418
30.029713,70.035805,1048,1141
30.084057,70.060083,1574,1610
30.088624,70.026831,1742,1742
30.098872,70.099606,1446,1526
30.025242,70.037356,1696,1765
30.099120,70.032039,1480,1576
30.036152,70.075920,718,775
30.079459,70.078835,1448,1522
30.037057,70.038214,712,804
30.050144,70.062809,1728,1776
30.041895,70.064843,1427,1519
30.000041,70.064674,1720,1799
30.040719,70.097122,1553,1558
30.085959,70.069207,1430,1506
30.062674,70.095353,1190,1250
30.097095,70.027995,1794,1800
30.035381,70.009030,783,852
30.068445,70.090725,786,797
30.077073,70.013443,1551,1649
30.041993,70.081957,686,754
30.082800,70.052119,710,809
30.099519,70.025341,1366,1407
30.091042,70.049550,1502,1595
30.015843,70.042234,1543,1610
30.042043,70.083679,746,767
30.006338,70.076656,1476,1503
30.064210,70.032579,921,929
30.067541,70.023560,862,953
30.049896,70.034791,1685,1707
30.034692,70.062349,1583,1636
30.006893,70.027763,1648,1653
30.005019,70.022604,1285,1313
30.096977,70.053854,711,729
30.000611,70.033975,1223,1293
